邪恶道士魔卡,减血伤害抵消100.0%,有些怪物会释放持续减血伤害技能。处于减血状态，英雄血量会在一段时间内持续减少。,普通5-1支线脱逃武林监狱
冒牌占卜师魔卡,击败敌人，加成 +2.0%额外生命,普通4-4支线可以预知未来的女子
变身雕像雪人魔卡,击败敌人，加成 +2.0%额外生命,噩梦 8-1 诺丁的展厅陈列
奔跑少女魔卡,击败敌人，加成 +2.0%额外生命,普通1-4支线比闪电还要快！
拔剑出鞘的海军舰长魔卡,击败敌人，加成 +2.0%额外生命,船长外传：坎特伯雷街21号挑战本四大天王玛丽娜
新手幸存者魔卡,击败敌人，加成 +2.0%额外生命,普通8-4支线来自远方的少女
自由奔跑少女魔卡,击败敌人，加成+2.0%额外生命,普通9-5支线比火车还要快！
吟唱音乐家魔卡,击败敌人，加成+2.0%额外生命,噩梦4-6在此聚集！沙漠绿洲！
樱花盛开魔卡,击败敌人，加成+2.0%额外生命,狐狸外传：久远的传说猛虎村篇支线眼明不如手快···？
坚毅奔跑少女魔卡,击败敌人，恢复 +1.0%生命,普通2-2终点冲刺！
拉赫帝国观光列车魔卡,击败敌人，恢复 +1.0%生命,噩梦9-3复杂的铁轨衔接
调皮吸血鬼魔卡,击败敌人，恢复 +1.0%生命,普通1-6迷路的少女…？
精灵弓箭手魔卡,击败敌人，恢复+1.0%生命,普通 1-3 无人森林
复仇冤魂魔卡,击败敌人，恢复+1.0%生命,普通9-3支线幽灵废屋
附灵超自然少女魔卡,击败敌人，恢复+1.0%生命,噩梦3-2 冤魂附体的物品
奔跑少女母亲魔卡,击败敌人，恢复+1.0%生命,狐狸外传：久远的传说诅咒之湖篇支线密林赛跑能手
春秋派修炼馆秘典魔卡,击败敌人，提升 +8.0%攻击,普通 5-7 挑战春秋派习武馆！
实力非凡狙击手魔卡,击败敌人，提升 +8.0%攻击,普通9-3支线拉赫帝国狙击手
狡猾魔法师魔卡,击败敌人，提升 +8.0%攻击,普通 2-4 吹牛魔法师与双面女仆
超级泰坦魔卡,击败敌人，提升 +8.0%攻击,普通 2-5 雷霆反击
灵活奔跑少女魔卡,击败敌人，提升 +8.0%攻击,普通 4-4 热血的赛跑！
恶作剧红斗篷魔卡,击败敌人，提升 +8.0%攻击,普通 1-4 红斗篷
充满冒险精神魅魔魔卡,击败敌人，提升 +8.0%攻击,普通 魅魔镇（7-3支线）憧憬冒险的魅魔
热恋守护灵魔卡,击败敌人，武器技能恢复时间 -0.2秒,普通 1-5 守护灵
忙碌商人魔卡,击败敌人，武器技能恢复时间 -0.2秒,噩梦 4-3 挑剔商人的手段
精打细算商人二人组魔卡,击败敌人，武器技能恢复时间 -0.2秒,普通 10-1 被封住的物资仓库
讲义气哥布林魔卡,击败敌人，武器技能恢复时间 -0.2秒,噩梦 1-2 蓝骑士之约
愁闷奔跑少女魔卡,击败敌人，武器技能恢复时间 -0.2秒,普通 6-3 快速穿梭于桌子之间！
沉着冷静开锁工魔卡,击败敌人，武器技能恢复时间 -0.2秒,普通 7-5 地牢美食
挑剔商人魔卡,开始战斗，加成 +4.0%额外生命,普通 4-3 挑剔的商人
贫苦少女魔卡,开始战斗，加成 +4.0%额外生命,普通 1-3 血汗钱
烤曲奇的哥布林学生魔卡,开始战斗，加成 +4.0%额外生命,船长外传：坎特伯雷街21号转学生篇支线诚实饼干
令人欣慰魅魔魔卡,开始战斗，加成 +4.0%额外生命,普通 10-2 失踪的人们
飞快奔跑少女魔卡,开始战斗，加成 +4.0%额外生命,普通 5-2 更高、更强、更快！
魅魔咖啡厅创始人魔卡,开始战斗，加成 +4.0%额外生命,土正太外传：魅魔咖啡厅挑战4
